time 2020-10-30 16:54:58
robNum  15
taskNum  30
comp_threshold  0
rob2taskDisMat  41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666 41.86884283091664 44.204072210600685 2.0 43.93176527297759 29.068883707497267 50.695167422546305 25.495097567963924 2.23606797749979 41.43669871020132 38.600518131237564 47.43416490252569 13.0 37.013511046643494 44.204072210600685 28.0178514522438 1.4142135623730951 27.459060435491963 47.50789408087881 38.2099463490856 40.607881008493905 41.773197148410844 34.058772731852805 7.280109889280518 5.830951894845301 39.824615503479755 41.593268686170845 51.0 38.27531841800928 42.44997055358225 39.59797974644666
taskDisMat  0.0 54.08326913195984 43.41658669218482 73.68174807915459 51.24451190127583 90.33825324855468 49.64876634922564 44.04543109109048 72.80109889280519 67.35725647619564 54.45181356024793 53.75872022286245 50.08991914547278 54.08326913195984 48.16637831516918 40.45985664828782 47.16990566028302 5.656854249492381 53.150729063673246 2.0 55.00909015790027 49.36598018878993 46.32493928760188 43.18564576337837 58.42088667591412 72.44998274671983 52.630789467763066 12.083045973594572 56.00892785976178 55.14526271584895 54.08326913195984 0.0 45.803929962395145 30.528675044947494 72.91776189653656 85.15867542417507 69.42621983083913 45.221676218380054 32.202484376209235 26.0 4.0 42.720018726587654 7.211102550927978 0.0 71.42128534267638 44.04543109109048 70.71067811865476 58.008620049092706 7.0710678118654755 52.08646657242167 4.123105625617661 10.295630140987 51.03920062069938 38.8329756778952 10.770329614269007 31.304951684997057 10.44030650891055 60.63827174318213 4.47213595499958 7.0710678118654755 43.41658669218482 45.803929962395145 0.0 44.384682042344295 27.80287754891569 48.76474136094644 24.20743687382041 1.0 41.773197148410844 39.21734310225516 49.09175083453431 12.36931687685298 38.600518131237564 45.803929962395145 26.92582403567252 3.1622776601683795 26.419689627245813 49.040799340956916 39.698866482558415 42.20189569201838 43.278170016764804 35.608987629529715 5.385164807134504 7.0710678118654755 41.10960958218893 41.97618372363071 52.773099207835045 39.408120990476064 43.93176527297759 41.036569057366385 73.68174807915459 30.528675044947494 44.384682042344295 0.0 70.77428911688199 65.29931086925804 67.23094525588644 43.41658669218482 3.605551275463989 6.324555320336759 34.0 34.0147027033899 28.284271247461902 30.528675044947494 70.57619995437555 44.721359549995796 70.22819946431775 78.77182237323191 25.495097567963924 71.78439941937245 26.627053911388696 27.018512172212592 47.75981574503821 38.47076812334269 20.0 2.8284271247461903 40.70626487409524 75.95393340703298 26.076809620810597 24.20743687382041 51.24451190127583 72.91776189653656 27.80287754891569 70.77428911688199 0.0 46.09772228646444 3.605551275463989 28.600699292150182 67.77905281132217 66.18912297349165 75.92759709091287 36.76955262170047 65.79513659838392 72.91776189653656 3.1622776601683795 29.0 4.123105625617661 55.731499172371095 67.17886572427373 51.088159097779204 70.71067811865476 62.93647591023825 23.323807579381203 34.828149534535996 68.8839603971781 68.15423684555495 78.81624198095213 41.23105625617661 71.42128534267638 68.62215385719105 90.33825324855468 85.15867542417507 48.76474136094644 65.29931086925804 46.09772228646444 0.0 45.254833995939045 48.507731342539614 61.71709649683789 64.62197768561404 89.10667763978185 44.01136216933077 78.63841300535 85.15867542417507 48.83646178829912 51.92301994298868 49.51767361255979 95.71311299921238 78.08969202141856 89.47066558375433 81.39410298049853 75.53806987208503 44.598206241955516 52.61178575186362 76.15773105863909 62.609903369994115 94.64142856064674 83.21658488546619 81.58431221748455 78.44743462982075 49.64876634922564 69.42621983083913 24.20743687382041 67.23094525588644 3.605551275463989 45.254833995939045 0.0 25.0 64.25729530566937 62.609903369994115 72.47068372797375 33.24154027718932 62.289646009589745 69.42621983083913 4.123105625617661 25.45584412271571 4.47213595499958 54.3415126767741 63.63961030678928 49.36598018878993 67.17886572427373 59.413803110051795 19.72308292331602 31.240998703626616 65.29931086925804 64.62197768561404 75.45197147855052 40.162171256046406 67.88225099390856 65.06919393998976 44.04543109109048 45.221676218380054 1.0 43.41658669218482 28.600699292150182 48.507731342539614 25.0 0.0 40.792156108742276 38.27531841800928 48.54894437575342 11.40175425099138 38.01315561749642 45.221676218380054 27.784887978899608 3.605551275463989 27.294688127912362 49.678969393496885 39.05124837953327 42.80186911806539 42.638011210655684 35.0 5.830951894845301 6.4031242374328485 40.36087214122113 41.0 52.32590180780452 40.22437072223753 43.278170016764804 40.36087214122113 72.80109889280519 32.202484376209235 41.773197148410844 3.605551275463989 67.77905281132217 61.71709649683789 64.25729530566937 40.792156108742276 0.0 6.4031242374328485 35.84689665786984 31.016124838541646 29.206163733020468 32.202484376209235 67.67569726275453 42.2965719651132 67.35725647619564 78.0 26.627053911388696 70.9365914038728 28.178005607210743 27.586228448267445 44.9221548904324 36.124783736376884 21.470910553583888 1.0 42.5440947723653 74.52516353554684 27.730849247724095 25.553864678361276 67.35725647619564 26.0 39.21734310225516 6.324555320336759 66.18912297349165 64.62197768561404 62.609903369994115 38.27531841800928 6.4031242374328485 0.0 29.732137494637012 29.68164415931166 22.80350850198276 26.0 65.79513659838392 39.293765408777 65.39113089708727 72.44998274671983 20.248456731316587 65.45991139621256 21.93171219946131 21.213203435596427 42.95346318982906 32.984845004941285 15.231546211727817 5.656854249492381 36.40054944640259 69.72087205421343 21.540659228538015 19.235384061671343 54.45181356024793 4.0 49.09175083453431 34.0 75.92759709091287 89.10667763978185 72.47068372797375 48.54894437575342 35.84689665786984 29.732137494637012 0.0 46.486557196677836 10.770329614269007 4.0 74.33034373659252 47.20169488482379 73.59347797189639 58.077534382926416 11.045361017187261 52.46903848937962 8.06225774829855 13.92838827718412 54.378304497290095 42.190046219457976 14.560219778561036 34.92849839314596 6.708203932499369 61.68468205316454 8.246211251235321 11.045361017187261 53.75872022286245 42.720018726587654 12.36931687685298 34.0147027033899 36.76955262170047 44.01136216933077 33.24154027718932 11.40175425099138 31.016124838541646 29.68164415931166 46.486557196677836 0.0 35.73513677041127 42.720018726587654 36.68787265568828 14.317821063276353 36.40054944640259 59.413803110051795 35.84689665786984 52.32590180780452 39.395431207184416 32.57299494980466 14.142135623730951 10.63014581273465 35.510561809129406 31.38470965295043 51.419840528729765 51.10772935672255 39.81205847478876 36.6742416417845 50.08991914547278 7.211102550927978 38.600518131237564 28.284271247461902 65.79513659838392 78.63841300535 62.289646009589745 38.01315561749642 29.206163733020468 22.80350850198276 10.770329614269007 35.73513677041127 0.0 7.211102550927978 64.35060217278468 36.87817782917155 63.655321851358195 54.45181356024793 3.1622776601683795 48.093658625644196 5.385164807134504 3.1622776601683795 43.829214001622255 31.622776601683793 8.94427190999916 28.42534080710379 16.0312195418814 55.57877292636101 6.324555320336759 5.0990195135927845 54.08326913195984 0.0 45.803929962395145 30.528675044947494 72.91776189653656 85.15867542417507 69.42621983083913 45.221676218380054 32.202484376209235 26.0 4.0 42.720018726587654 7.211102550927978 0.0 71.42128534267638 44.04543109109048 70.71067811865476 58.008620049092706 7.0710678118654755 52.08646657242167 4.123105625617661 10.295630140987 51.03920062069938 38.8329756778952 10.770329614269007 31.304951684997057 10.44030650891055 60.63827174318213 4.47213595499958 7.0710678118654755 48.16637831516918 71.42128534267638 26.92582403567252 70.57619995437555 3.1622776601683795 48.83646178829912 4.123105625617661 27.784887978899608 67.67569726275453 65.79513659838392 74.33034373659252 36.68787265568828 64.35060217278468 71.42128534267638 0.0 27.80287754891569 1.0 52.61178575186362 65.85590330410783 48.041648597857254 69.35416353759881 61.554853586049575 22.847319317591726 33.83784863137726 67.80117993073571 68.00735254367721 77.00649323271382 38.07886552931954 70.09279563550022 67.35725647619564 40.45985664828782 44.04543109109048 3.1622776601683795 44.721359549995796 29.0 51.92301994298868 25.45584412271571 3.605551275463989 42.2965719651132 39.293765408777 47.20169488482379 14.317821063276353 36.87817782917155 44.04543109109048 27.80287754891569 0.0 27.202941017470888 46.09772228646444 38.18376618407357 39.20459156782532 41.72529209005013 33.97057550292606 8.06225774829855 6.324555320336759 40.0 42.42640687119285 50.60632371551998 36.89173349139343 42.42640687119285 39.6232255123179 47.16990566028302 70.71067811865476 26.419689627245813 70.22819946431775 4.123105625617661 49.51767361255979 4.47213595499958 27.294688127912362 67.35725647619564 65.39113089708727 73.59347797189639 36.40054944640259 63.655321851358195 70.71067811865476 1.0 27.202941017470888 0.0 51.62363799656123 65.19202405202648 47.042533945356304 68.6804193347711 60.876925020897694 22.47220505424423 33.28663395418648 67.20119046564577 67.67569726275453 76.21679604916491 37.107950630558946 69.42621983083913 66.70832032063167 5.656854249492381 58.008620049092706 49.040799340956916 78.77182237323191 55.731499172371095 95.71311299921238 54.3415126767741 49.678969393496885 78.0 72.44998274671983 58.077534382926416 59.413803110051795 54.45181356024793 58.008620049092706 52.61178575186362 46.09772228646444 51.62363799656123 0.0 57.55866572463264 7.211102550927978 59.21148537234985 53.9351462406472 51.86520991955976 48.83646178829912 62.96824596572466 77.62087348130012 55.731499172371095 15.033296378372908 60.207972893961475 59.53990258641679 53.150729063673246 7.0710678118654755 39.698866482558415 25.495097567963924 67.17886572427373 78.08969202141856 63.63961030678928 39.05124837953327 26.627053911388696 20.248456731316587 11.045361017187261 35.84689665786984 3.1622776601683795 7.0710678118654755 65.85590330410783 38.18376618407357 65.19202405202648 57.55866572463264 0.0 51.15662224971465 3.605551275463989 4.47213595499958 44.82186966202994 32.64965543462902 5.830951894845301 25.80697580112788 17.11724276862369 58.42088667591412 4.242640687119285 2.0 2.0 52.08646657242167 42.20189569201838 71.78439941937245 51.088159097779204 89.47066558375433 49.36598018878993 42.80186911806539 70.9365914038728 65.45991139621256 52.46903848937962 52.32590180780452 48.093658625644196 52.08646657242167 48.041648597857254 39.20459156782532 47.042533945356304 7.211102550927978 51.15662224971465 0.0 53.009433122794285 47.38143096192854 45.27692569068709 41.72529209005013 56.43580423808985 70.57619995437555 50.695167422546305 13.038404810405298 54.00925846556311 53.150729063673246 55.00909015790027 4.123105625617661 43.278170016764804 26.627053911388696 70.71067811865476 81.39410298049853 67.17886572427373 42.638011210655684 28.178005607210743 21.93171219946131 8.06225774829855 39.395431207184416 5.385164807134504 4.123105625617661 69.35416353759881 41.72529209005013 68.6804193347711 59.21148537234985 3.605551275463989 53.009433122794285 0.0 7.810249675906654 48.41487374764082 36.235341863986875 6.708203932499369 27.294688127912362 14.560219778561036 60.8276253029822 1.0 3.0 49.36598018878993 10.295630140987 35.608987629529715 27.018512172212592 62.93647591023825 75.53806987208503 59.413803110051795 35.0 27.586228448267445 21.213203435596427 13.92838827718412 32.57299494980466 3.1622776601683795 10.295630140987 61.554853586049575 33.97057550292606 60.876925020897694 53.9351462406472 4.47213595499958 47.38143096192854 7.810249675906654 0.0 40.80441152620633 28.600699292150182 9.055385138137417 26.870057685088806 19.1049731745428 54.230987451824994 8.602325267042627 6.324555320336759 46.32493928760188 51.03920062069938 5.385164807134504 47.75981574503821 23.323807579381203 44.598206241955516 19.72308292331602 5.830951894845301 44.9221548904324 42.95346318982906 54.378304497290095 14.142135623730951 43.829214001622255 51.03920062069938 22.847319317591726 8.06225774829855 22.47220505424423 51.86520991955976 44.82186966202994 45.27692569068709 48.41487374764082 40.80441152620633 0.0 12.206555615733702 45.967379738244816 45.221676218380054 58.137767414994535 41.036569057366385 49.040799340956916 46.09772228646444 43.18564576337837 38.8329756778952 7.0710678118654755 38.47076812334269 34.828149534535996 52.61178575186362 31.240998703626616 6.4031242374328485 36.124783736376884 32.984845004941285 42.190046219457976 10.63014581273465 31.622776601683793 38.8329756778952 33.83784863137726 6.324555320336759 33.28663395418648 48.83646178829912 32.64965543462902 41.72529209005013 36.235341863986875 28.600699292150182 12.206555615733702 0.0 34.058772731852805 36.22154055254967 46.09772228646444 41.14608122288197 36.87817782917155 33.97057550292606 58.42088667591412 10.770329614269007 41.10960958218893 20.0 68.8839603971781 76.15773105863909 65.29931086925804 40.36087214122113 21.470910553583888 15.231546211727817 14.560219778561036 35.510561809129406 8.94427190999916 10.770329614269007 67.80117993073571 40.0 67.20119046564577 62.96824596572466 5.830951894845301 56.43580423808985 6.708203932499369 9.055385138137417 45.967379738244816 34.058772731852805 0.0 20.591260281974 21.18962010041709 63.12685640834652 6.324555320336759 4.242640687119285 72.44998274671983 31.304951684997057 41.97618372363071 2.8284271247461903 68.15423684555495 62.609903369994115 64.62197768561404 41.0 1.0 5.656854249492381 34.92849839314596 31.38470965295043 28.42534080710379 31.304951684997057 68.00735254367721 42.42640687119285 67.67569726275453 77.62087348130012 25.80697580112788 70.57619995437555 27.294688127912362 26.870057685088806 45.221676218380054 36.22154055254967 20.591260281974 0.0 41.6293165929973 74.33034373659252 26.832815729997478 24.698178070456937 52.630789467763066 10.44030650891055 52.773099207835045 40.70626487409524 78.81624198095213 94.64142856064674 75.45197147855052 52.32590180780452 42.5440947723653 36.40054944640259 6.708203932499369 51.419840528729765 16.0312195418814 10.44030650891055 77.00649323271382 50.60632371551998 76.21679604916491 55.731499172371095 17.11724276862369 50.695167422546305 14.560219778561036 19.1049731745428 58.137767414994535 46.09772228646444 21.18962010041709 41.6293165929973 0.0 60.92618484691127 14.866068747318506 17.46424919657298 12.083045973594572 60.63827174318213 39.408120990476064 75.95393340703298 41.23105625617661 83.21658488546619 40.162171256046406 40.22437072223753 74.52516353554684 69.72087205421343 61.68468205316454 51.10772935672255 55.57877292636101 60.63827174318213 38.07886552931954 36.89173349139343 37.107950630558946 15.033296378372908 58.42088667591412 13.038404810405298 60.8276253029822 54.230987451824994 41.036569057366385 41.14608122288197 63.12685640834652 74.33034373659252 60.92618484691127 0.0 61.814237842102365 60.40695324215582 56.00892785976178 4.47213595499958 43.93176527297759 26.076809620810597 71.42128534267638 81.58431221748455 67.88225099390856 43.278170016764804 27.730849247724095 21.540659228538015 8.246211251235321 39.81205847478876 6.324555320336759 4.47213595499958 70.09279563550022 42.42640687119285 69.42621983083913 60.207972893961475 4.242640687119285 54.00925846556311 1.0 8.602325267042627 49.040799340956916 36.87817782917155 6.324555320336759 26.832815729997478 14.866068747318506 61.814237842102365 0.0 3.1622776601683795 55.14526271584895 7.0710678118654755 41.036569057366385 24.20743687382041 68.62215385719105 78.44743462982075 65.06919393998976 40.36087214122113 25.553864678361276 19.235384061671343 11.045361017187261 36.6742416417845 5.0990195135927845 7.0710678118654755 67.35725647619564 39.6232255123179 66.70832032063167 59.53990258641679 2.0 53.150729063673246 3.0 6.324555320336759 46.09772228646444 33.97057550292606 4.242640687119285 24.698178070456937 17.46424919657298 60.40695324215582 3.1622776601683795 0.0

rob_x  50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0
rob_y  50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0
rob_vel  1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
rob_abi  0.02644530465654128 0.028882163603391166 0.045871222123152824 0.033952638886065686 0.03674880308802628 0.041416475737713496 0.02631261528184592 0.03388506815801812 0.02250575827074679 0.020925393642587147 0.04905099540223218 0.04166221961229197 0.03865632551521883 0.026145469856322608 0.028857961702671537

