time 2020-10-30 16:54:58
robNum  80
taskNum  15
comp_threshold  0
rob2taskDisMat  28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0 28.178005607210743 42.720018726587654 60.207972893961475 70.00714249274856 14.866068747318506 24.020824298928627 28.653097563788805 30.01666203960727 56.302753041036986 49.01020301937138 47.4236228055175 47.01063709417264 22.090722034374522 38.47076812334269 41.0
taskDisMat  0.0 68.59300255857006 87.80091115700337 97.30878685915265 35.05709628591621 14.035668847618199 56.824290580701486 56.293871780150276 84.38009243891595 67.23094525588644 46.09772228646444 68.26419266350405 28.460498941515414 66.64833081180653 55.362442142665635 68.59300255857006 0.0 22.360679774997898 29.966648127543394 48.76474136094644 58.60034129593445 22.090722034374522 37.656340767525464 24.515301344262525 25.553864678361276 58.137767414994535 58.52349955359813 61.68468205316454 21.095023109728988 32.2490309931942 87.80091115700337 22.360679774997898 0.0 10.295630140987 61.85466837676846 79.25906888173743 32.802438933713454 43.657759905886145 9.219544457292887 44.91102314577124 80.39900496896712 59.033888572581766 75.45197147855052 24.596747752497688 54.0 97.30878685915265 29.966648127543394 10.295630140987 0.0 72.11102550927978 88.20430828479978 43.01162633521314 53.85164807134504 18.24828759089466 49.0 86.68333173107735 68.3593446428504 85.70297544426332 34.88552708502482 59.682493245507096 35.05709628591621 48.76474136094644 61.85466837676846 72.11102550927978 0.0 36.05551275463989 29.154759474226502 22.360679774997898 55.97320787662612 60.67124524847005 62.24146527838174 33.95585369269929 13.601470508735444 37.64306044943742 54.42425929675111 14.035668847618199 58.60034129593445 79.25906888173743 88.20430828479978 36.05551275463989 0.0 50.695167422546305 54.037024344425184 77.07788269017254 54.120236510939236 32.89376840679705 69.92138442565336 34.713109915419565 60.440052945046304 41.78516483155236 56.824290580701486 22.090722034374522 32.802438933713454 43.01162633521314 29.154759474226502 50.695167422546305 0.0 15.811388300841896 27.80287754891569 42.43819034784589 62.6418390534633 37.589892258425 42.720018726587654 9.848857801796104 42.80186911806539 56.293871780150276 37.656340767525464 43.657759905886145 53.85164807134504 22.360679774997898 54.037024344425184 15.811388300841896 0.0 36.235341863986875 57.8013840664737 72.89718787443039 22.20360331117452 35.0 19.4164878389476 56.586217403180434 84.38009243891595 24.515301344262525 9.219544457292887 18.24828759089466 55.97320787662612 77.07788269017254 27.80287754891569 36.235341863986875 0.0 49.39635614091387 82.00609733428362 50.15974481593781 69.52697318307479 18.384776310850235 56.71860364994893 67.23094525588644 25.553864678361276 44.91102314577124 49.0 60.67124524847005 54.120236510939236 42.43819034784589 57.8013840664737 49.39635614091387 0.0 39.81205847478876 79.92496481075234 71.00704190430693 45.27692569068709 13.45362404707371 46.09772228646444 58.137767414994535 80.39900496896712 86.68333173107735 62.24146527838174 32.89376840679705 62.6418390534633 72.89718787443039 82.00609733428362 39.81205847478876 0.0 93.1933474020544 65.45991139621256 70.40596565632774 27.202941017470888 68.26419266350405 58.52349955359813 59.033888572581766 68.3593446428504 33.95585369269929 69.92138442565336 37.589892258425 22.20360331117452 50.15974481593781 79.92496481075234 93.1933474020544 0.0 41.10960958218893 38.07886552931954 78.64477096412705 28.460498941515414 61.68468205316454 75.45197147855052 85.70297544426332 13.601470508735444 34.713109915419565 42.720018726587654 35.0 69.52697318307479 71.00704190430693 65.45991139621256 41.10960958218893 0.0 51.22499389946279 62.96824596572466 66.64833081180653 21.095023109728988 24.596747752497688 34.88552708502482 37.64306044943742 60.440052945046304 9.848857801796104 19.4164878389476 18.384776310850235 45.27692569068709 70.40596565632774 38.07886552931954 51.22499389946279 0.0 48.30113870293329 55.362442142665635 32.2490309931942 54.0 59.682493245507096 54.42425929675111 41.78516483155236 42.80186911806539 56.586217403180434 56.71860364994893 13.45362404707371 27.202941017470888 78.64477096412705 62.96824596572466 48.30113870293329 0.0

rob_x  50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0
rob_y  50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0
rob_vel  1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
rob_abi  0.027117005784666227 0.030018362761080837 0.022056625129629248 0.04097585100621229 0.047310193521499136 0.03976354853098277 0.034038098941337816 0.03672952787653931 0.021492271386508704 0.028906287696898056 0.04205259316714935 0.04989098894931453 0.03668726822803035 0.030675547408237976 0.042195347152377785 0.03177677390598759 0.03199146922805078 0.03450872006783656 0.02778565523029518 0.03831204742110749 0.041481568863016044 0.027763026125085744 0.038298507043724575 0.027326823587073227 0.03982520595875408 0.045553162969513235 0.046052938689839555 0.03207795306664612 0.04783992911095149 0.04799371475612961 0.02745279486151307 0.028072743979819313 0.022176180025760793 0.041969706751174375 0.04613159387701374 0.0373743976899035 0.037442994172829015 0.047987989126499264 0.0244454021616861 0.04836427277221919 0.03378174592403896 0.02487607385336304 0.043353897140495035 0.0468161063005961 0.03322044134760419 0.02929285595224268 0.032022680097928705 0.02347510860521156 0.026185675051467926 0.04044196053717193 0.02204678657048615 0.026828591092752187 0.029641104972145296 0.04785818951576372 0.048659624648115324 0.02134941981479743 0.04428433386925912 0.020698502858476964 0.04257278849554609 0.04049898133457752 0.03483381339250287 0.03585608642136541 0.0417188591429863 0.046615328627790276 0.03326862119341861 0.03988775525343462 0.0282372328902931 0.03839726709409884 0.02518064381820653 0.026661954611474067 0.026996541431923857 0.03349441737932584 0.04251837473405844 0.04920314682238936 0.02707210268530622 0.02850924539474602 0.03641058524994539 0.031687804507890424 0.033550907235205554 0.027736247926231607

